"dplyr function(s)","Description","Base R functions"
"filter(), slice()","Subset rows by attribute (filter) or position (slice)","subset(), ["
"arrange()","Return data ordered by variable(s)","sort()"
"select()","Subset columns","subset(), [, [["
"rename()","Rename columns","names()"
"distinct()","Return unique rows","unique()"
"mutate()","Create new variables (transmute drops existing variables)","[["
"summarise()","Collapse data into a single row","aggregate()"
"sample_n()","Return a sample of the data","sample()"
